
						M4Team				COACHING 1:1
						Antonio Jimenez				Plan Medio


		Peso Corporal
		76,8


		COMIDA 1

		MENÚ 1				MENÚ 2				MENÚ 3				MENÚ 4				MENÚ 5				MENÚ 6

		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS
		Avena		70g		Pan blanco		125g		Papilla de bebé		100g		Cornflakes		85g		Pan blanco		150g		Huevo		2ud

		Plátano		1ud		Jamon Serrano		80g		Proteina		30g		Proteina		20g		Pechuga Pavo		80g		Papilla de bebé		100g

		Leche semidesnatada		400ml		Plátano		1ud		Miel		10g		Leche semidesnatada		400ml		Queso Havarti Light		2 loncha		Arándanos		30g

		Proteina		20g						Plátano		1ud		Arándanos		50g

		NOTA: Cornflakes, papilla de bebe y avena tienen macros similares, pueden intercambiarlos. Menú 1 y 2, 5 son para de digestión media, 3 y 4 digestión rápida



		COMIDA 2

		MENÚ 1				MENÚ 2				MENÚ 3				MENÚ 4				MENÚ 5				MENÚ 6

		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS
		Arroz blanco		100g		Pasta		100g		Patatas		400g		Arroz blanco		100g		Avena		100g		Patatas		400g

		Pechuga de Pollo		100g		Carne Picada Ternera		100g		Salmon		100g		Sardinas		80g		Proteina		30g		Hígado Ternera		120g

		Aguacate		70g		Tomate Frito		100g		Aceite de oliva		5g		Nueces		15g		Cacao en Polvo		10g		Tomate Frito		100g

		Manzanas		1ud		Manzanas		1ud		Manzanas		1ud		Pieza Fruta		1ud		Manzanas		1ud		Nueces		10g

																						Pieza Fruta		1ud

		NOTA: Cornflakes, papilla de bebe y avena tienen macros similares, pueden intercambiarlos. Menú 1 y 2 son para de digestión media, 3 y 4 digestión rápida



		COMIDA 3

		MENÚ 1				MENÚ 2				MENÚ 3				MENÚ 4				MENÚ 5				MENÚ 6

		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS
		Proteina		30g		Pan blanco		150g		Queso Fresco Batido		500g		Garbanzos		400g		Leche semidesnatada		300ml		Tortas de Maiz		70g

		Plátano		1ud		Pechuga de Pollo		100g		Cornflakes		70g		Pechuga de Pollo		100g		Cornflakes		100g		Pechuga de Pollo		100g

		Leche semidesnatada		300ml		Aguacate		30g		Miel		30g		Arroz blanco		50g		Proteina		30g		Dátiles		50g

		Papilla de bebé		50g		Queso en Cuña		25g		Cacao en Polvo		10g										Nueces		10g

										Manzanas		1ud										Pieza Fruta		1ud

		NOTA: puedes añadir verdura al gusto en cualquier comida, pero sin calentarte



		COMIDA 3

		MENÚ 1				MENÚ 2				MENÚ 3				MENÚ 4				MENÚ 5				MENÚ 6

		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS		ALIMENTO		GRAMOS
		Merluza		200g		Arroz blanco		80g		Huevo		3ud		Pan blanco		125g		Pechuga Pavo		100g		Papilla de bebé		70g

		Arroz blanco		125g		Huevo		3ud		Patatas		400g		Huevo		3ud		Queso Havarti Light		2 loncha		Proteina		20g

		Aceite de oliva		10g		Aguacate		30g		Brócoli		100g		Manzanas		1ud		Pan blanco		125g		Chocolate negro 85%		20g

		Manzanas		1ud		Manzanas		1ud		Aguacate		40g						Manzanas		1ud		Pieza Fruta		1ud

		NOTA: puedes añadir verdura al gusto en cualquier comida, pero sin calentarte



